,0,1,2
11453,C:\Users\dhiae\RANZ_kaggle\data\1.4856771230697632__CYGNO_60_40_ER_30_keV_930V_30cm_IDAO_iso_crop_hist_pic_run4_ev789;1.png,0,30.0
2363,C:\Users\dhiae\RANZ_kaggle\data\-0.7554131150245667__CYGNO_60_40_ER_3_keV_930V_30cm_IDAO_iso_crop_hist_pic_run5_ev172;1.png,0,3.0
12678,C:\Users\dhiae\RANZ_kaggle\data\2.4834001064300537__CYGNO_60_40_He_NR_20_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run1_ev386;1.png,1,20.0
10648,C:\Users\dhiae\RANZ_kaggle\data\1.2271335124969482__CYGNO_60_40_ER_30_keV_930V_30cm_IDAO_iso_crop_hist_pic_run3_ev368;1.png,0,30.0
822,C:\Users\dhiae\RANZ_kaggle\data\-0.2573873698711395__CYGNO_60_40_ER_10_keV_930V_30cm_IDAO_iso_crop_hist_pic_run4_ev949;1.png,0,10.0
10781,C:\Users\dhiae\RANZ_kaggle\data\1.266800045967102__CYGNO_60_40_He_NR_20_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run4_ev398;1.png,1,20.0
13025,C:\Users\dhiae\RANZ_kaggle\data\2.7939999103546143__CYGNO_60_40_He_NR_6_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run5_ev511;1.png,1,6.0
1260,C:\Users\dhiae\RANZ_kaggle\data\-0.4000000059604645__CYGNO_60_40_He_NR_1_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run1_ev492;1.png,1,1.0
7711,C:\Users\dhiae\RANZ_kaggle\data\0.32761430740356445__CYGNO_60_40_ER_3_keV_930V_30cm_IDAO_iso_crop_hist_pic_run2_ev263;1.png,0,3.0
8629,C:\Users\dhiae\RANZ_kaggle\data\0.5989543795585632__CYGNO_60_40_ER_3_keV_930V_30cm_IDAO_iso_crop_hist_pic_run2_ev196;1.png,0,3.0
396,C:\Users\dhiae\RANZ_kaggle\data\-0.12710000574588776__CYGNO_60_40_He_NR_1_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run1_ev994;1.png,1,1.0
2407,C:\Users\dhiae\RANZ_kaggle\data\-0.7716414928436279__CYGNO_60_40_ER_3_keV_930V_30cm_IDAO_iso_crop_hist_pic_run5_ev211;1.png,0,3.0
4842,C:\Users\dhiae\RANZ_kaggle\data\-1.5254995822906494__CYGNO_60_40_ER_3_keV_930V_30cm_IDAO_iso_crop_hist_pic_run5_ev947;1.png,0,3.0
2533,C:\Users\dhiae\RANZ_kaggle\data\-0.806968629360199__CYGNO_60_40_ER_10_keV_930V_30cm_IDAO_iso_crop_hist_pic_run4_ev908;1.png,0,10.0
13282,C:\Users\dhiae\RANZ_kaggle\data\3.0211000442504883__CYGNO_60_40_He_NR_6_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run2_ev821;1.png,1,6.0
11950,C:\Users\dhiae\RANZ_kaggle\data\1.8020999431610107__CYGNO_60_40_He_NR_1_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run5_ev533;1.png,1,1.0
12240,C:\Users\dhiae\RANZ_kaggle\data\2.079400062561035__CYGNO_60_40_He_NR_6_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run2_ev724;1.png,1,6.0
6353,C:\Users\dhiae\RANZ_kaggle\data\-2.878700017929077__CYGNO_60_40_He_NR_20_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run2_ev254;1.png,1,20.0
6678,C:\Users\dhiae\RANZ_kaggle\data\0.016100000590085983__CYGNO_60_40_He_NR_6_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run2_ev238;1.png,1,6.0
5595,C:\Users\dhiae\RANZ_kaggle\data\-2.142199993133545__CYGNO_60_40_He_NR_1_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run4_ev470;1.png,1,1.0
10263,C:\Users\dhiae\RANZ_kaggle\data\1.0951000452041626__CYGNO_60_40_He_NR_20_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run4_ev616;1.png,1,20.0
6006,C:\Users\dhiae\RANZ_kaggle\data\-2.5332999229431152__CYGNO_60_40_He_NR_20_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run5_ev905;1.png,1,20.0
